3.1592;-0.6995;-1.1037;0.7554;-146.9300;-51.9400;-38.7100;61.8380;64.2880;-59.7660;-0.7114;-1.0893;0.7433;-147.3772;-54.6984;-38.1454;48.9680;48.3680;-59.3760;-102.67;-16.94;-34.49;3.0
3.1696;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00;0.00;4.0
3.1697;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00;0.00;4.0
3.1812;-0.4895;0.0092;0.7613;72.0300;-30.4500;-94.6400;37.8280;15.0080;-3.1360;-0.5195;-0.0209;0.7713;74.7700;-31.3200;-95.2300;-4.8320;-8.1620;-42.0460;5.21;21.31;47.26;1.0
3.2035;-0.7314;-0.8473;0.2563;-129.2900;-4.6900;27.9300;122.6400;217.4620;-262.1360;-0.7818;-0.8469;0.2580;-126.1242;0.8527;25.2937;59.6800;-94.0280;-299.5160;-129.68;33.89;0.00;2.0
3.2057;-0.4953;0.0201;0.7943;92.5400;-32.6900;-107.5900;37.1280;14.5320;-2.5480;-0.5253;-0.0099;0.8043;95.2800;-33.5600;-108.1800;-5.5320;-8.6380;-41.4580;5.71;23.42;70.61;1.0
3.2058;-0.7204;-0.7995;0.2289;-114.1000;-6.3000;35.9800;122.4580;218.2040;-261.7580;-0.7709;-0.7991;0.2306;-110.9342;-0.7573;33.3437;59.4980;-93.2860;-299.1380;-129.24;34.28;0.00;2.0
3.2571;-0.6741;-0.8863;0.3776;-105.7700;-16.3800;7.1400;59.9340;67.8860;-58.2120;-0.6859;-0.8719;0.3654;-106.2172;-19.1384;7.7046;47.0640;51.9660;-57.8220;-87.33;8.11;0.41;3.0
3.2572;-0.7136;-0.8858;0.3643;-88.4800;-19.5300;15.1900;59.9060;68.6280;-57.8200;-0.7255;-0.8714;0.3521;-88.9272;-22.2884;15.7546;47.0360;52.7080;-57.4300;-87.29;8.16;0.51;3.0
3.2573;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00;0.00;4.0
3.2576;-0.4954;0.0102;0.7898;104.0200;-21.7000;-126.0700;37.2820;11.7600;-1.5260;-0.5254;-0.0198;0.7998;106.7600;-22.5700;-126.6600;-5.3780;-11.4100;-40.4360;7.03;27.34;116.64;1.0
3.2577;-0.7725;-0.7654;0.2135;-69.1600;-13.8600;39.2700;123.0040;219.2960;-260.6240;-0.8230;-0.7651;0.2152;-65.9943;-8.3173;36.6337;60.0440;-92.1940;-298.0040;-117.66;43.03;-0.01;2.0
3.2578;-0.6873;-0.7704;0.3986;-47.7400;-17.5000;26.5300;59.4020;69.4960;-57.0500;-0.6992;-0.7560;0.3864;-48.1872;-20.2584;27.0946;46.5320;53.5760;-56.6600;-87.24;8.31;0.73;3.0
3.2578;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00;0.00;4.0
3.2664;-0.4341;0.0954;0.8211;59.6400;-24.9900;-90.5800;37.6040;9.5900;-0.8960;-0.4641;0.0654;0.8311;62.3800;-25.8600;-91.1700;-5.0560;-13.5800;-39.8060;6.94;27.34;118.84;1.0
3.2719;-0.6799;-0.6953;0.2180;-42.0000;-19.1100;37.8000;123.6340;220.0100;-260.6660;-0.7304;-0.6949;0.2197;-38.8343;-13.5673;35.1637;60.6740;-91.4800;-298.0460;-114.34;44.49;0.00;2.0
3.2833;-0.5236;0.0057;0.8106;57.6800;-25.6900;-109.9000;38.0520;8.6380;-0.2520;-0.5536;-0.0243;0.8206;60.4200;-26.5600;-110.4900;-4.6080;-14.5320;-39.1620;5.73;28.24;121.70;1.0
3.2834;-0.6438;-0.6467;0.2280;-30.7300;-23.5200;36.6800;123.7460;219.2960;-261.0020;-0.6942;-0.6464;0.2297;-27.5643;-17.9773;34.0437;60.7860;-92.1940;-298.3820;-111.47;45.59;0.00;2.0
3.3043;-0.5883;-0.6905;0.3388;-26.8800;-16.3100;30.8700;60.2280;69.8320;-56.6440;-0.6002;-0.6761;0.3266;-27.3272;-19.0684;31.4346;47.3580;53.9120;-56.2540;-81.26;18.16;17.69;3.0
3.3061;-0.5769;-0.6594;0.3859;-17.2200;-16.8000;35.7700;60.0740;69.6920;-57.6520;-0.5888;-0.6450;0.3737;-17.6672;-19.5584;36.3346;47.2040;53.7720;-57.2620;-81.03;18.46;18.28;3.0
3.3062;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00;0.00;4.0
3.3166;-0.5357;0.0538;0.8497;-19.6000;-84.6300;49.6300;36.9040;7.3920;0.4340;-0.5657;0.0238;0.8597;-16.8600;-85.5000;49.0400;-5.7560;-15.7780;-38.4760;4.55;26.93;131.92;1.0
3.3385;-0.6027;-0.5980;0.2688;-7.0700;-26.0400;40.3200;123.8860;219.3380;-260.7780;-0.6531;-0.5977;0.2705;-3.9043;-20.4973;37.6837;60.9260;-92.1520;-298.1580;-94.78;49.71;-0.01;2.0
3.3386;-0.6167;-0.4735;0.5434;3.5700;0.0000;43.8900;60.6200;69.3420;-56.7000;-0.6286;-0.4591;0.5312;3.1228;-2.7584;44.4546;47.7500;53.4220;-56.3100;-73.70;24.86;29.78;3.0
3.3404;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00;0.00;4.0
3.3494;-0.4865;0.0845;0.8179;-73.5700;-73.7800;106.5400;35.0140;8.8900;1.3440;-0.5165;0.0545;0.8279;-70.8300;-74.6500;105.9500;-7.6460;-14.2800;-37.5660;3.56;25.80;142.18;1.0
3.3606;-0.6166;-0.5511;0.3465;11.4100;-9.0300;38.5700;124.2780;218.6380;-261.7020;-0.6670;-0.5507;0.3482;14.5758;-3.4873;35.9337;61.3180;-92.8520;-299.0820;-88.85;50.67;0.00;2.0
3.3608;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00;0.00;4.0
3.3734;-0.4632;0.1394;0.8590;-103.3200;-46.5500;126.0700;32.7320;11.0180;-0.0420;-0.4932;0.1094;0.8690;-100.5800;-47.4200;125.4800;-9.9280;-12.1520;-38.9520;3.29;25.28;149.49;1.0
